REF_AREA,Reference area,Measure,Pollutant,Unit of measure,ISO,ISO 1,TIME_PERIOD,OBS_VALUE
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2002,23.079172
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2003,23.226179
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2004,21.913139
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2005,22.052462
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2006,22.033249
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2007,21.74695
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2008,20.051468
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2009,18.732449
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2010,18.076719
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2011,19.037766
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2012,17.89654
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2013,18.025927
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2014,17.603619
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2015,17.242054
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2016,16.864376
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2017,16.607756
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2018,15.840757
